"date","tipo_refeicao","restaurante_utilizado","categoria_padrao","categoria_vegano","dia_semana","mes","almoco","periodo_semestre","quantidade","feriado_dummy"
2024-04-22,"Jantar","RA","frango","leguminosas","seg","abr","0","meio",845,0
2024-04-22,"Jantar","RS","frango","leguminosas","seg","abr","0","meio",1065,0
2024-04-23,"Almoço","RU","suino","leguminosas","ter","abr","1","meio",4139,0
2024-04-23,"Almoço","RA","suino","leguminosas","ter","abr","1","meio",1525,0
2024-04-23,"Almoço","RS","suino","leguminosas","ter","abr","1","meio",2069,0
2024-04-23,"Jantar","RU","bovino","pts_proteina_texturizada","ter","abr","0","meio",2881,0
2024-04-23,"Jantar","RA","bovino","pts_proteina_texturizada","ter","abr","0","meio",861,0
2024-04-23,"Jantar","RS","bovino","pts_proteina_texturizada","ter","abr","0","meio",1044,0
2024-04-24,"Almoço","RU","bovino","leguminosas","qua","abr","1","meio",4028,0
2024-04-24,"Almoço","RA","bovino","leguminosas","qua","abr","1","meio",1310,0
2024-04-24,"Almoço","RS","bovino","leguminosas","qua","abr","1","meio",1779,0
2024-04-24,"Jantar","RU","bovino_suino","leguminosas","qua","abr","0","meio",2680,0
2024-04-24,"Jantar","RA","bovino_suino","leguminosas","qua","abr","0","meio",798,0
2024-04-24,"Jantar","RS","bovino_suino","leguminosas","qua","abr","0","meio",994,0
2024-04-25,"Almoço","RU","frango","leguminosas","qui","abr","1","meio",4118,0
2024-04-25,"Almoço","RA","frango","leguminosas","qui","abr","1","meio",1470,0
2024-04-25,"Almoço","RS","frango","leguminosas","qui","abr","1","meio",2183,0
2024-04-25,"Jantar","RU","bovino","pts_proteina_texturizada","qui","abr","0","meio",1061,0
2024-04-25,"Jantar","RA","bovino","pts_proteina_texturizada","qui","abr","0","meio",939,0
2024-04-25,"Jantar","RS","bovino","pts_proteina_texturizada","qui","abr","0","meio",1464,0
2024-04-26,"Almoço","RU","bovino","pts_proteina_texturizada","sex","abr","1","meio",2037,0
2024-04-26,"Almoço","RA","bovino","pts_proteina_texturizada","sex","abr","1","meio",618,0
2024-04-26,"Almoço","RS","bovino","pts_proteina_texturizada","sex","abr","1","meio",916,0
2024-04-26,"Jantar","RU","frango","pts_proteina_texturizada","sex","abr","0","meio",1609,0
2024-04-26,"Jantar","RA","frango","pts_proteina_texturizada","sex","abr","0","meio",462,0
2024-04-26,"Jantar","RS","frango","pts_proteina_texturizada","sex","abr","0","meio",460,0
2024-04-29,"Almoço","RU","frango","pts_proteina_texturizada","seg","abr","1","meio",4114,0
2024-04-29,"Almoço","RA","frango","pts_proteina_texturizada","seg","abr","1","meio",1390,0
2024-04-29,"Almoço","RS","frango","pts_proteina_texturizada","seg","abr","1","meio",2068,0
2024-04-29,"Jantar","RU","suino","leguminosas","seg","abr","0","meio",2748,0
2024-04-29,"Jantar","RA","suino","leguminosas","seg","abr","0","meio",804,0
2024-04-29,"Jantar","RS","suino","leguminosas","seg","abr","0","meio",983,0
2024-04-30,"Almoço","RU","bovino","leguminosas","ter","abr","1","meio",3848,0
2024-04-30,"Almoço","RS","bovino","leguminosas","ter","abr","1","meio",1757,0
2024-04-30,"Almoço","RA","bovino","leguminosas","ter","abr","1","meio",1267,0
2024-04-30,"Jantar","RU","frango","pts_proteina_texturizada","ter","abr","0","meio",2735,0
2024-04-30,"Jantar","RA","frango","pts_proteina_texturizada","ter","abr","0","meio",818,0
2024-04-30,"Jantar","RS","frango","pts_proteina_texturizada","ter","abr","0","meio",935,0
2024-05-02,"Almoço","RU","frango","pts_proteina_texturizada","qui","mai","1","meio",3909,0
2024-05-02,"Almoço","RA","frango","pts_proteina_texturizada","qui","mai","1","meio",1423,0
2024-05-02,"Almoço","RS","frango","pts_proteina_texturizada","qui","mai","1","meio",1813,0
2024-05-02,"Jantar","RU","suino","leguminosas","qui","mai","0","meio",2722,0
2024-05-02,"Jantar","RA","suino","leguminosas","qui","mai","0","meio",806,0
2024-05-02,"Jantar","RS","suino","leguminosas","qui","mai","0","meio",982,0
2024-05-03,"Almoço","RU","bovino","leguminosas","sex","mai","1","meio",3616,0
2024-05-03,"Almoço","RA","bovino","leguminosas","sex","mai","1","meio",1243,0
2024-05-03,"Almoço","RS","bovino","leguminosas","sex","mai","1","meio",1560,0
